Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,home_prob,draw_prob,away_prob,home_elo,away_elo
2016-07-16,GAA Football All-Ireland Senior Championship,sligo,1,13,clare,2,17,0.4389992143746278,0.11875,0.44225078562537223,1506,1507
2016-07-16,GAA Football All-Ireland Senior Championship,longford,1,6,cork,2,9,0.448686509848635,0.11875,0.432563490151365,1515,1508
2016-07-16,GAA Football All-Ireland Senior Championship,cavan,0,18,derry,1,17,0.4486917179219132,0.11875,0.43255828207808683,1520,1514
2016-07-16,GAA Football All-Ireland Senior Championship,mayo,2,17,kildare,0,14,0.45013990436677337,0.11875,0.43111009563322666,1529,1522
2016-07-17,Connacht GAA Football Senior Championship,galway,3,16,roscommon,0,14,0.40318068696546144,0.08771929824561403,0.5091000147889245,1521,1562
2016-07-17,Leinster GAA Football Senior Championship,dublin,2,19,westmeath,0,10,0.4869008775733254,0.07692307692307693,0.4361760455035977,1552,1533
2016-07-17,Ulster GAA Football Senior Championship,donegal,0,11,tyrone,0,13,0.4273943116906895,0.11875,0.45385568830931056,1540,1551
2016-07-23,GAA Football All-Ireland Senior Championship,clare,2,12,roscommon,1,9,0.4359285604150241,0.11875,0.44532143958497594,1529,1533
2016-07-23,GAA Football All-Ireland Senior Championship,tipperary,1,21,derry,2,17,0.43258937443802764,0.08771929824561403,0.4796913273163583,1513,1531
2016-07-30,GAA Football All-Ireland Senior Championship,donegal,0,21,cork,1,15,0.43327018931966454,0.11875,0.44797981068033543,1524,1530
2016-07-30,GAA Football All-Ireland Senior Championship,mayo,3,15,westmeath,1,14,0.5247124793116996,0.07692307692307693,0.3983644437652234,1553,1505
2016-07-31,GAA Football All-Ireland Senior Championship,kerry,2,16,clare,0,11,0.44541511408904244,0.11875,0.43583488591095754,1554,1550
2016-07-31,GAA Football All-Ireland Senior Championship,galway,1,10,tipperary,3,13,0.48863496693552727,0.07692307692307693,0.4344419561413958,1550,1530
2016-08-06,GAA Football All-Ireland Senior Championship,tyrone,0,12,mayo,0,13,0.43512154749816784,0.11875,0.4461284525018321,1567,1572
2016-08-06,GAA Football All-Ireland Senior Championship,dublin,1,15,donegal,1,10,0.5123734897088595,0.07692307692307693,0.41070343336806353,1580,1542
2016-08-21,GAA Football All-Ireland Senior Championship,mayo,2,13,tipperary,0,14,0.5038556069649139,0.07692307692307693,0.4192213161120091,1587,1555
2016-08-28,GAA Football All-Ireland Senior Championship,dublin,0,22,kerry,2,14,0.4859589069227377,0.07692307692307693,0.4371180161541854,1598,1580
