Date,home_team,away_team,competition,home_points,home_goals,away_points,away_goals,home_win,draw,winning_team,losing_team
9/18/16,dublin,mayo,GAA Football All-Ireland Senior Championship,9,2,15,0,1,,dublin,mayo
10/1/16,dublin,mayo,GAA Football All-Ireland Senior Championship,15,1,14,1,1,,dublin,mayo
2/4/17,mayo,monaghan,Allianz Football League Roinn 1,12,0,11,1,0,,monaghan,mayo
2/4/17,down,fermanagh,Allianz Football League Roinn 1,10,0,16,1,0,,fermanagh,down
2/4/17,laois,louth,Allianz Football League Roinn 1,10,0,16,2,0,,louth,laois
2/5/17,tyrone,roscommon,Allianz Football League Roinn 1,18,0,9,1,1,,tyrone,roscommon
2/5/17,donegal,kerry,Allianz Football League Roinn 1,17,1,17,2,0,,kerry,donegal
2/5/17,cavan,dublin,Allianz Football League Roinn 1,11,0,18,0,0,,dublin,cavan
2/5/17,galway,cork,Allianz Football League Roinn 2,14,0,11,1,0,,cork,galway
2/5/17,derry,clare,Allianz Football League Roinn 2,11,0,8,1,0,,clare,
2/5/17,meath,kildare,Allianz Football League Roinn 2,16,0,17,3,0,,kildare,meath
2/5/17,longford,offaly,Allianz Football League Roinn 3,12,1,10,0,1,,longford,offaly
2/5/17,tipperary,antrim,Allianz Football League Roinn 3,12,2,13,0,1,,tipperary,antrim
2/5/17,sligo,armagh,Allianz Football League Roinn 3,14,1,11,2,2,,null,null
2/5/17,waterford,armagh,Allianz Football League Roinn 4,14,1,11,2,2,,null,null
2/5/17,westmeath,carlow,Allianz Football League Roinn 4,10,2,10,2,2,,null,null
2/5/17,wicklow,leitrim,Allianz Football League Roinn 4,10,0,17,1,0,,leitrim,wicklow
2/5/17,wexford,limerick,Allianz Football League Roinn 4,14,0,8,1,1,,wexford,limerick
2/11/17,kerry,mayo,Allianz Football League Roinn 1,10,1,15,0,0,,mayo,kerry
2/11/17,dublin,tyrone,Allianz Football League Roinn 1,10,0,7,1,2,,null,null
2/11/17,waterford,wicklow,Allianz Football League Roinn 4,17,1,9,1,1,,waterford,wicklow
2/12/17,monaghan,cavan,Allianz Football League Roinn 1,7,0,7,0,2,,null,null
2/12/17,roscommon,donegal,Allianz Football League Roinn 1,9,2,16,0,0,,donegal,roscommon
2/12/17,clare,down,Allianz Football League Roinn 2,11,2,11,0,1,,clare,down
2/12/17,kildare,cork,Allianz Football League Roinn 2,14,1,8,1,1,,kildare,cork
2/12/17,fermanagh,galway,Allianz Football League Roinn 2,10,0,13,1,0,,galway,fermanagh
2/12/17,meath,derry,Allianz Football League Roinn 2,15,3,9,0,1,,meath,derry
2/12/17,louth,longford,Allianz Football League Roinn 3,11,0,10,0,1,,louth,longford
2/12/17,tipperary,sligo,Allianz Football League Roinn 3,16,1,14,2,0,,sligo,tipperary
2/12/17,offaly,antrim,Allianz Football League Roinn 3,23,0,7,1,1,,offaly,antrim
2/12/17,armagh,laois,Allianz Football League Roinn 3,16,0,11,2,0,,laois,armagh
2/12/17,carlow,london,Allianz Football League Roinn 4,16,0,15,2,0,,london,carlow
2/12/17,limerick,westmeath,Allianz Football League Roinn 4,12,0,18,1,0,,westmeath,limerick
2/12/17,leitrim,wexford,Allianz Football League Roinn 4,14,0,16,0,0,,wexford,leitrim
2/25/17,mayo,roscommon,Allianz Football League Roinn 1,19,1,14,0,1,,mayo,roscommon
2/25/17,down,meath,Allianz Football League Roinn 2,13,1,14,0,1,,down,meath
2/25/17,laois,tipperary,Allianz Football League Roinn 3,10,1,16,1,0,,tipperary,laois
2/25/17,carlow,limerick,Allianz Football League Roinn 4,10,1,10,0,1,,carlow,limerick
2/26/17,donegal,dublin,Allianz Football League Roinn 1,5,2,8,1,2,,null,null
2/26/17,kerry,monaghan,Allianz Football League Roinn 1,10,1,8,2,0,,monaghan,kerry
2/26/17,cork,fermanagh,Allianz Football League Roinn 2,14,1,9,0,1,,cork,fermanagh
2/26/17,derry,kildare,Allianz Football League Roinn 2,18,1,17,1,1,,derry,kildare
2/26/17,galway,clare,Allianz Football League Roinn 2,13,3,11,1,1,,galway,clare
2/26/17,offaly,louth,Allianz Football League Roinn 3,14,0,13,2,0,,louth,offaly
2/26/17,longford,armagh,Allianz Football League Roinn 3,9,3,11,3,0,,armagh,longford
2/26/17,antrim,sligo,Allianz Football League Roinn 3,11,0,7,1,1,,antrim,sligo
2/26/17,wexford,waterford,Allianz Football League Roinn 4,9,1,10,0,1,,wexford,waterford
2/26/17,wicklow,london,Allianz Football League Roinn 4,17,0,4,2,1,,wicklow,london
2/26/17,westmeath,leitrim,Allianz Football League Roinn 4,18,2,9,1,1,,westmeath,leitrim
3/4/17,dublin,mayo,Allianz Football League Roinn 1,16,1,7,0,1,,dublin,mayo
3/4/17,cavan,donegal,Allianz Football League Roinn 1,11,0,16,1,0,,donegal,cavan
3/4/17,tyrone,monaghan,Allianz Football League Roinn 1,14,0,10,0,1,,tyrone,monaghan
3/4/17,limerick,london,Allianz Football League Roinn 4,13,1,12,0,1,,limerick,london
3/5/17,roscommon,kerry,Allianz Football League Roinn 1,13,1,19,1,0,,kerry,roscommon
3/5/17,kildare,fermanagh,Allianz Football League Roinn 2,14,4,14,0,1,,kildare,fermanagh
3/5/17,meath,galway,Allianz Football League Roinn 2,13,1,15,0,1,,meath,galway
3/5/17,clare,cork,Allianz Football League Roinn 2,11,2,9,0,1,,clare,cork
3/5/17,derry,down,Allianz Football League Roinn 2,7,1,15,1,0,,down,derry
3/5/17,louth,antrim,Allianz Football League Roinn 3,10,2,11,1,1,,louth,antrim
3/5/17,armagh,offaly,Allianz Football League Roinn 3,22,6,10,0,1,,armagh,offaly
3/5/17,sligo,laois,Allianz Football League Roinn 3,18,0,10,2,1,,sligo,laois
3/5/17,leitrim,carlow,Allianz Football League Roinn 4,14,2,12,2,1,,leitrim,carlow
3/5/17,waterford,westmeath,Allianz Football League Roinn 4,11,2,13,3,0,,westmeath,waterford
3/5/17,wicklow,wexford,Allianz Football League Roinn 4,13,0,13,1,0,,wexford,wicklow
3/11/17,tipperary,longford,Allianz Football League Roinn 3,17,3,18,0,1,,tipperary,longford
3/12/17,tyrone,cavan,Allianz Football League Roinn 1,19,0,9,1,1,,tyrone,cavan
3/18/17,donegal,tyrone,Allianz Football League Roinn 1,12,0,6,0,1,,donegal,tyrone
3/18/17,kerry,dublin,Allianz Football League Roinn 1,13,0,13,0,2,,kerry,dublin
3/18/17,down,kildare,Allianz Football League Roinn 2,10,0,9,2,0,,kildare,down
3/18/17,carlow,waterford,Allianz Football League Roinn 4,10,2,7,0,1,,carlow,waterford
3/19/17,mayo,cavan,Allianz Football League Roinn 1,15,0,14,1,0,,cavan,mayo
3/19/17,monaghan,roscommon,Allianz Football League Roinn 1,17,2,13,1,1,,monaghan,roscommon
3/19/17,fermanagh,clare,Allianz Football League Roinn 2,18,0,10,1,1,,fermanagh,clare
3/19/17,cork,meath,Allianz Football League Roinn 2,18,0,15,1,0,,meath,cork
3/19/17,galway,derry,Allianz Football League Roinn 2,15,5,15,2,1,,galway,derry
3/19/17,antrim,laois,Allianz Football League Roinn 3,10,1,11,0,1,,antrim,laois
3/19/17,louth,armagh,Allianz Football League Roinn 3,11,0,15,3,0,,armagh,louth
3/19/17,longford,sligo,Allianz Football League Roinn 3,16,0,7,2,1,,longford,sligo
3/19/17,offaly,tipperary,Allianz Football League Roinn 3,11,2,15,2,0,,tipperary,offaly
3/19/17,wexford,london,Allianz Football League Roinn 4,15,0,9,0,1,,wexford,london
3/19/17,limerick,leitrim,Allianz Football League Roinn 4,11,2,15,0,1,,limerick,leitrim
3/19/17,westmeath,wicklow,Allianz Football League Roinn 4,19,0,14,0,1,,westmeath,wicklow
3/25/17,dublin,roscommon,Allianz Football League Roinn 1,29,2,14,0,1,,dublin,roscommon
3/25/17,armagh,antrim,Allianz Football League Roinn 3,12,1,13,0,1,,armagh,antrim
3/25/17,laois,longford,Allianz Football League Roinn 3,13,3,13,0,1,,laois,longford
3/25/17,waterford,limerick,Allianz Football League Roinn 4,8,0,14,0,0,,limerick,waterford
3/26/17,cavan,kerry,Allianz Football League Roinn 1,10,3,13,0,2,,null,null
3/26/17,tyrone,mayo,Allianz Football League Roinn 1,12,0,10,1,0,,mayo,tyrone
3/26/17,donegal,monaghan,Allianz Football League Roinn 1,11,1,11,1,2,,null,null
3/26/17,derry,cork,Allianz Football League Roinn 2,10,2,20,0,0,,cork,derry
3/26/17,meath,fermanagh,Allianz Football League Roinn 2,15,3,6,0,1,,meath,fermanagh
3/26/17,down,galway,Allianz Football League Roinn 2,13,1,15,3,0,,galway,down
3/26/17,kildare,clare,Allianz Football League Roinn 2,18,0,14,1,1,,kildare,clare
3/26/17,tipperary,louth,Allianz Football League Roinn 3,12,0,16,0,0,,louth,tipperary
3/26/17,sligo,offaly,Allianz Football League Roinn 3,10,2,14,2,0,,offaly,sligo
3/26/17,leitrim,london,Allianz Football League Roinn 4,16,2,15,0,1,,leitrim,london
3/26/17,wexford,westmeath,Allianz Football League Roinn 4,9,0,24,3,0,,westmeath,wexford
3/26/17,wicklow,carlow,Allianz Football League Roinn 4,10,0,18,1,0,,carlow,wicklow
4/1/17,leitrim,waterford,Allianz Football League Roinn 4,13,1,8,2,1,,leitrim,waterford
4/2/17,monaghan,dublin,Allianz Football League Roinn 1,15,1,15,2,0,,dublin,monaghan
4/2/17,mayo,donegal,Allianz Football League Roinn 1,12,1,13,0,1,,mayo,donegal
4/2/17,kerry,tyrone,Allianz Football League Roinn 1,21,1,11,2,1,,kerry,tyrone
4/2/17,roscommon,cavan,Allianz Football League Roinn 1,13,1,10,1,1,,roscommon,cavan
4/2/17,galway,kildare,Allianz Football League Roinn 2,14,0,13,0,1,,galway,kildare
4/2/17,cork,down,Allianz Football League Roinn 2,10,1,13,0,2,,null ,null
4/2/17,clare,meath,Allianz Football League Roinn 2,13,1,19,3,0,,meath,clare
4/2/17,fermanagh,derry,Allianz Football League Roinn 2,13,0,8,2,0,,derry,fermanagh
4/2/17,antrim,longford,Allianz Football League Roinn 2,13,1,16,0,2,,null,null
4/2/17,louth,sligo,Allianz Football League Roinn 3,11,1,17,0,0,,sligo,louth
4/2/17,armagh,tipperary,Allianz Football League Roinn 3,16,0,8,3,0,,tipperary,armagh
4/2/17,offaly,laois,Allianz Football League Roinn 3,15,3,11,4,1,,offaly,laois
4/2/17,carlow,wexford,Allianz Football League Roinn 4,14,2,7,1,1,,carlow,wexford
4/2/17,westmeath,london,Allianz Football League Roinn 4,26,3,9,1,1,,westmeath,london
4/2/17,limerick,wicklow,Allianz Football League Roinn 4,13,2,2,9,1,,limerick,wicklow
4/8/17,louth,tipperary,Allianz Football League Roinn 3,19,0,19,3,0,,tipperary,louth
4/8/17,westmeath,wexford,Allianz Football League Roinn 4,24,2,11,2,1,,westmeath,wexford
4/9/17,dublin,kerry,Allianz Football League Roinn 1,16,1,20,0,0,,kerry,dublin
4/9/17,kildare,galway,Allianz Football League Roinn 2,16,0,18,0,0,,galway,kildare
5/7/17,new_york,sligo,Connacht GAA Football Senior Championship,13,1,21,1,0,,sligo,new_york
5/20/17,monaghan,fermanagh,Ulster GAA Football Senior Championship,20,1,11,1,1,,monaghan,fermanagh
5/21/17,mayo,sligo,Connacht GAA Football Senior Championship,14,2,11,0,1,,mayo,sligo
5/21/17,louth,wicklow,Leinster GAA Football Senior Championship,19,1,14,1,1,,louth,wicklow
5/21/17,laois,longford,Leinster GAA Football Senior Championship,15,4,16,0,1,,laois,longford
5/21/17,carlow,wexford,Leinster GAA Football Senior Championship,17,2,13,2,1,,carlow,wexford
5/21/17,donegal,antrim,Ulster GAA Football Senior Championship,19,3,9,1,1,,donegal,antrim
5/27/17,waterford,cork,Munster GAA Football Senior Championship,11,1,12,1,0,,cork,waterford
5/28/17,london,leitrim,Connacht GAA Football Senior Championship,16,0,10,3,2,,null,null
5/28/17,clare,limerick,Munster GAA Football Senior Championship,13,1,12,1,1,,clare,limerick
5/28/17,derry,tyrone,Ulster GAA Football Senior Championship,11,0,22,0,0,,tyrone,derry
6/3/17,dublin,carlow,Leinster GAA Football Senior Championship,19,0,7,0,1,,dublin,carlow
6/4/17,meath,louth,Leinster GAA Football Senior Championship,27,0,9,3,1,,meath,louth
6/4/17,kildare,laois,Leinster GAA Football Senior Championship,21,1,7,1,1,,kildare,laois
6/4/17,down,armagh,Ulster GAA Football Senior Championship,15,0,7,2,1,,down,armagh
6/10/17,cork,tipperary,Munster GAA Football Senior Championship,10,1,9,1,1,,cork,tipperary
6/11/17,galway,mayo,Connacht GAA Football Senior Championship,15,0,11,1,1,,galway,mayo
6/11/17,offaly,westmeath,Leinster GAA Football Senior Championship,10,0,10,0,2,,null,null
6/11/17,clare,kerry,Munster GAA Football Senior Championship,12,1,18,1,0,,kerry,clare
6/11/17,cavan,monaghan,Ulster GAA Football Senior Championship,15,0,15,1,0,,monaghan,cavan
6/17/17,waterford,derry,GAA Football All-Ireland Senior Championship,13,0,17,1,0,,derry,waterford
6/17/17,louth,longford,GAA Football All-Ireland Senior Championship,10,1,15,2,0,,longford,louth
6/17/17,wicklow,laois,GAA Football All-Ireland Senior Championship,10,3,16,2,0,,laois,wicklow
6/17/17,sligo,antrim,GAA Football All-Ireland Senior Championship,22,0,7,3,1,,sligo,antrim
6/17/17,westmeath,offaly,Leinster GAA Football Senior Championship,17,3,15,0,1,,westmeath,offaly
6/17/17,meath,kildare,Leinster GAA Football Senior Championship,13,0,16,2,0,,kildare,meath
6/18/17,roscommon,leitrim,Connacht GAA Football Senior Championship,23,2,9,1,1,,roscommon,leitrim
6/18/17,donegal,tyrone,Ulster GAA Football Senior Championship,12,1,21,1,0,,tyrone,donegal
6/24/17,limerick,wexford,GAA Football All-Ireland Senior Championship,11,0,12,0,0,,wexford,limerick
6/24/17,down,monaghan,Ulster GAA Football Senior Championship,14,1,15,0,1,,down,monaghan
6/25/17,london,carlow,GAA Football All-Ireland Senior Championship,12,0,13,0,0,,carlow,london
6/25/17,armagh,fermanagh,GAA Football All-Ireland Senior Championship,20,0,11,0,1,,armagh,fermanagh
6/25/17,offaly,cavan,GAA Football All-Ireland Senior Championship,16,0,17,0,0,,cavan,offaly
