Date,home_team,away_team,competition,home_points,home_goals,away_points,away_goals,home_win,draw,winning_team,losing_team
2/11/18,cork,louth,Allianz Football League Roinn 2,11,2,10,0,1,,cork,louth
2/11/18,roscommon,down,Allianz Football League Roinn 2,7,0,12,0,0,,down,roscommon
2/11/18,armagh,longford,Allianz Football League Roinn 3,11,1,10,1,1,,armagh,longford
2/11/18,wexford,westmeath,Allianz Football League Roinn 3,10,1,16,0,0,,westmeath,wexford
2/11/18,london,limerick,Allianz Football League Roinn 4,8,2,8,2,2,,null ,null
2/11/18,antrim,wicklow,Allianz Football League Roinn 4,12,0,12,0,2,,null,null
2/18/18,monaghan,kerry,Allianz Football League Roinn 1,13,1,14,0,1,,monaghan,kerry
2/18/18,cavan,meath,Allianz Football League Roinn 2,14,2,12,1,1,,cavan,meath
2/18/18,sligo,fermanagh,Allianz Football League Roinn 3,8,0,13,0,0,,fermanagh,sligo
2/18/18,derry,offaly,Allianz Football League Roinn 3,15,1,13,0,1,,derry,offaly
2/24/18,mayo,dublin,Allianz Football League Roinn 1,12,0,10,2,0,,dublin,mayo
2/24/18,monaghan,tyrone,Allianz Football League Roinn 1,15,0,14,0,1,,monaghan,tyrone
2/24/18,tipperary,meath,Allianz Football League Roinn 2,15,2,10,1,1,,tipperary,meath
2/24/18,fermanagh,derry,Allianz Football League Roinn 3,16,1,8,3,1,,fermanagh,derry
2/24/18,waterford,carlow,Allianz Football League Roinn 4,9,2,12,2,0,,carlow,waterford
2/25/18,donegal,kildare,Allianz Football League Roinn 1,15,1,7,3,1,,donegal,kildare
2/25/18,kerry,galway,Allianz Football League Roinn 1,14,0,14,1,0,,galway,kerry
2/25/18,cork,cavan,Allianz Football League Roinn 2,11,0,14,0,0,,cavan,cork
2/25/18,down,clare,Allianz Football League Roinn 2,10,1,12,1,0,,clare,down
2/25/18,louth,roscommon,Allianz Football League Roinn 2,12,0,21,1,0,,roscommon,louth
2/25/18,westmeath,sligo,Allianz Football League Roinn 3,20,0,14,0,1,,westmeath,sligo
2/25/18,longford,wexford,Allianz Football League Roinn 3,12,1,9,0,1,,longford,wexford
2/25/18,offaly,armagh,Allianz Football League Roinn 3,9,1,15,1,0,,armagh,offaly
2/25/18,leitrim,limerick,Allianz Football League Roinn 4,18,2,9,1,1,,leitrim,limerick
2/25/18,wicklow,laois,Allianz Football League Roinn 4,10,0,16,1,0,,laois,wicklow
2/25/18,london,antrim,Allianz Football League Roinn 4,13,0,17,0,0,,antrim,london
3/10/18,tyrone,donegal,Allianz Football League Roinn 1,13,2,10,1,1,,tyrone,donegal
3/10/18,cavan,down,Allianz Football League Roinn 2,17,0,14,0,1,,cavan,down
3/10/18,wexford,offaly,Allianz Football League Roinn 3,10,1,13,1,0,,offaly,wexford
3/10/18,armagh,derry,Allianz Football League Roinn 3,15,1,14,0,1,,armagh,derry
3/10/18,limerick,waterford,Allianz Football League Roinn 4,10,2,9,2,1,,limerick,waterford
3/10/18,carlow,wicklow,Allianz Football League Roinn 4,17,1,12,0,1,,carlow,wicklow
3/11/18,tipperary,louth,Allianz Football League Roinn 2,17,2,9,0,1,,tipperary,louth
3/11/18,clare,roscommon,Allianz Football League Roinn 2,12,2,19,2,0,,roscommon,clare
3/11/18,meath,cork,Allianz Football League Roinn 2,15,1,16,2,0,,cork,meath
3/11/18,sligo,longford,Allianz Football League Roinn 3,18,0,12,2,2,,null,null
3/11/18,westmeath,fermanagh,Allianz Football League Roinn 3,14,0,9,1,1,,westmeath,fermanagh
3/11/18,london,laois,Allianz Football League Roinn 4,9,2,17,0,0,,laois,london
3/17/18,kerry,kildare,Allianz Football League Roinn 1,19,0,14,0,1,,kerry,kildare
3/17/18,cork,clare,Allianz Football League Roinn 2,12,0,14,0,0,,clare,cork
3/18/18,galway,dublin,Allianz Football League Roinn 1,13,0,13,0,2,,null,null
3/18/18,monaghan,donegal,Allianz Football League Roinn 1,16,1,10,1,1,,monaghan,donegal
3/18/18,mayo,tyrone,Allianz Football League Roinn 1,8,0,14,2,0,,tyrone,mayo
3/18/18,roscommon,cavan,Allianz Football League Roinn 2,15,0,13,0,1,,roscommon,cavan
3/18/18,derry,wexford,Allianz Football League Roinn 3,20,2,8,3,1,,derry,wexford
3/18/18,longford,westmeath,Allianz Football League Roinn 3,16,1,12,1,1,,longford,westmeath
3/18/18,fermanagh,armagh,Allianz Football League Roinn 3,7,0,7,0,2,,null,null
3/18/18,antrim,carlow,Allianz Football League Roinn 4,12,0,12,1,0,,carlow,antrim
3/19/18,offaly,sligo,Allianz Football League Roinn 3,8,0,8,0,2,,null,null
3/19/18,waterford,leitrim,Allianz Football League Roinn 4,0,0,0,0,2,,null,null
3/19/18,wicklow,limerick,Allianz Football League Roinn 4,0,0,0,0,2,,null,null
3/25/18,dublin,monaghan,Allianz Football League Roinn 1,17,0,12,2,0,,monaghan,dublin
3/25/18,donegal,mayo,Allianz Football League Roinn 1,13,0,13,0,2,,null,null
3/25/18,kildare,galway,Allianz Football League Roinn 1,10,0,16,0,0,,galway,kildare
3/25/18,tyrone,kerry,Allianz Football League Roinn 1,17,1,14,0,1,,tyrone,kerry
3/25/18,roscommon,cork,Allianz Football League Roinn 2,17,0,11,1,1,,roscommon,cork
3/25/18,meath,down,Allianz Football League Roinn 2,14,4,14,1,1,,meath,down
3/25/18,clare,louth,Allianz Football League Roinn 2,12,3,11,1,1,,clare,louth
3/25/18,cavan,tipperary,Allianz Football League Roinn 2,17,0,10,2,1,,cavan,tipperary
3/25/18,wexford,armagh,Allianz Football League Roinn 3,12,0,8,1,1,,wexford,armagh
3/25/18,longford,fermanagh,Allianz Football League Roinn 3,9,1,10,1,0,,fermanagh,longford
3/25/18,sligo,derry,Allianz Football League Roinn 3,11,3,12,2,1,,sligo,derry
3/25/18,westmeath,offaly,Allianz Football League Roinn 3,14,1,20,1,0,,offaly,westmeath
3/25/18,carlow,laois,Allianz Football League Roinn 4,8,0,6,1,0,,laois,carlow
3/25/18,london,waterford,Allianz Football League Roinn 4,14,1,16,1,0,,waterford,london
3/25/18,limerick,antrim,Allianz Football League Roinn 4,12,0,13,1,0,,antrim,limerick
3/25/18,leitrim,wicklow,Allianz Football League Roinn 4,15,2,10,0,1,,leitrim,wicklow
3/31/18,down,tipperary,Allianz Football League Roinn 2,11,2,11,1,1,,down,tipperary
3/31/18,louth,meath,Allianz Football League Roinn 2,7,0,12,1,0,,meath,louth
3/31/18,armagh,fermanagh,Allianz Football League Roinn 3,16,1,17,0,1,,armagh,fermanagh
3/31/18,carlow,laois,Allianz Football League Roinn 4,11,0,15,0,0,,laois,carlow
4/1/18,dublin,galway,Allianz Football League Roinn 1,18,0,14,0,1,,dublin,galway
4/1/18,cavan,roscommon,Allianz Football League Roinn 2,12,4,16,4,0,,roscommon,cavan
5/6/18,london,sligo,Connacht GAA Football Senior Championship,11,1,21,1,0,,sligo,london
5/6/18,new_york,leitrim,Connacht GAA Football Senior Championship,15,1,19,0,0,,leitrim,new_york
5/12/18,wexford,laois,Leinster GAA Football Senior Championship,18,1,21,2,0,,laois,wexford
5/13/18,mayo,galway,Connacht GAA Football Senior Championship,12,0,12,1,0,,galway,mayo
5/13/18,louth,carlow,Leinster GAA Football Senior Championship,12,0,17,2,0,,carlow,louth
5/13/18,offaly,wicklow,Leinster GAA Football Senior Championship,15,1,20,1,0,,wicklow,offaly
5/13/18,donegal,cavan,Ulster GAA Football Senior Championship,20,2,15,1,1,,donegal,cavan
5/19/18,limerick,clare,Munster GAA Football Senior Championship,14,0,23,1,0,,clare,limerick
5/19/18,tipperary,waterford,Munster GAA Football Senior Championship,20,0,9,0,1,,tipperary,waterford
5/19/18,fermanagh,armagh,Ulster GAA Football Senior Championship,12,0,7,0,1,,fermanagh,armagh
5/20/18,tyrone,monaghan,Ulster GAA Football Senior Championship,16,1,18,1,0,,monaghan,tyrone
5/26/18,leitrim,roscommon,Connacht GAA Football Senior Championship,10,0,24,0,0,,roscommon,leitrim
5/26/18,westmeath,laois,Leinster GAA Football Senior Championship,12,1,13,4,0,,laois,westmeath
5/26/18,tipperary,cork,Munster GAA Football Senior Championship,9,0,17,1,0,,cork,tipperary
5/26/18,down,antrim,Ulster GAA Football Senior Championship,18,1,14,1,1,,down,antrim
5/27/18,kildare,carlow,Leinster GAA Football Senior Championship,10,1,14,2,0,,carlow,kildare
5/27/18,longford,meath,Leinster GAA Football Senior Championship,16,0,14,0,1,,longford,meath
5/27/18,dublin,wicklow,Leinster GAA Football Senior Championship,25,4,11,1,1,,dublin,wicklow
5/27/18,derry,donegal,Ulster GAA Football Senior Championship,16,0,16,2,0,,donegal,derry
6/3/18,galway,sligo,Connacht GAA Football Senior Championship,24,4,12,1,1,,galway,sligo
6/3/18,kerry,clare,Munster GAA Football Senior Championship,32,0,10,0,1,,kerry,clare
6/3/18,fermanagh,monaghan,Ulster GAA Football Senior Championship,8,1,10,0,1,,fermanagh,monaghan
6/9/18,wexford,waterford,GAA Football All-Ireland Senior Championship,18,1,14,3,0,,waterford,wexford
6/9/18,derry,kildare,GAA Football All-Ireland Senior Championship,14,2,22,2,0,,kildare,derry
6/9/18,meath,tyrone,GAA Football All-Ireland Senior Championship,19,0,14,2,0,,tyrone,meath
6/9/18,limerick,mayo,GAA Football All-Ireland Senior Championship,7,3,19,5,0,,mayo,limerick
6/9/18,offaly,antrim,GAA Football All-Ireland Senior Championship,20,2,15,1,1,,offaly,antrim
6/9/18,wicklow,cavan,GAA Football All-Ireland Senior Championship,5,1,16,2,0,,cavan,wicklow
6/9/18,westmeath,armagh,GAA Football All-Ireland Senior Championship,11,1,16,3,0,,armagh,westmeath
6/10/18,london,louth,GAA Football All-Ireland Senior Championship,19,1,26,2,0,,louth,london
6/10/18,carlow,laois,Leinster GAA Football Senior Championship,8,0,12,0,0,,laois,carlow
6/10/18,dublin,longford,Leinster GAA Football Senior Championship,25,2,12,0,1,,dublin,longford
6/10/18,donegal,down,Ulster GAA Football Senior Championship,22,2,12,1,1,,donegal,down
6/17/18,roscommon,galway,Connacht GAA Football Senior Championship,6,2,16,0,0,,galway,roscommon
6/23/18,waterford,monaghan,GAA Football All-Ireland Senior Championship,9,0,21,5,0,,monaghan,waterford
6/23/18,carlow,tyrone,GAA Football All-Ireland Senior Championship,10,1,13,4,0,,tyrone,carlow
6/23/18,cavan,down,GAA Football All-Ireland Senior Championship,14,1,15,0,1,,cavan,down
6/23/18,tipperary,mayo,GAA Football All-Ireland Senior Championship,11,1,19,1,0,,mayo,tipperary
6/23/18,sligo,armagh,GAA Football All-Ireland Senior Championship,13,1,19,1,0,,armagh,sligo
6/23/18,longford,kildare,GAA Football All-Ireland Senior Championship,13,1,16,1,0,,kildare,longford
6/23/18,leitrim,louth,GAA Football All-Ireland Senior Championship,25,0,12,1,1,,leitrim,louth
6/23/18,cork,kerry,Munster GAA Football Senior Championship,4,2,18,3,0,,kerry,cork
6/24/18,offaly,clare,GAA Football All-Ireland Senior Championship,14,2,19,1,0,,clare,offaly
6/24/18,dublin,laois,Leinster GAA Football Senior Championship,25,1,10,0,1,,dublin,laois
6/24/18,donegal,fermanagh,Ulster GAA Football Senior Championship,18,2,12,0,1,,donegal,fermanagh
6/30/18,leitrim,monaghan,GAA Football All-Ireland Senior Championship,9,0,19,1,0,,monaghan,leitrim
6/30/18,armagh,clare,GAA Football All-Ireland Senior Championship,16,2,15,1,1,,armagh,clare
6/30/18,cavan,tyrone,GAA Football All-Ireland Senior Championship,12,1,18,0,0,,tyrone,cavan
6/30/18,kildare,mayo,GAA Football All-Ireland Senior Championship,21,0,19,0,1,,kildare,mayo
7/7/18,roscommon,armagh,GAA Football All-Ireland Senior Championship,22,2,19,1,1,,roscommon,armagh
7/7/18,cork,tyrone,GAA Football All-Ireland Senior Championship,13,0,20,3,0,,tyrone,cork
7/7/18,tipperary,kildare,GAA Football All-Ireland Senior Championship,18,0,20,3,0,,kildare,fermanagh
7/8/18,laois,monaghan,GAA Football All-Ireland Senior Championship,11,1,19,0,0,,monaghan,laois
7/14/18,tyrone,roscommon,GAA Football All-Ireland Senior Championship,24,4,12,2,1,,tyrone,roscommon
7/14/18,dublin,donegal,GAA Football All-Ireland Senior Championship,15,2,16,0,1,,dublin,donegal
7/15/18,kildare,monaghan,GAA Football All-Ireland Senior Championship,10,1,15,0,0,,monaghan,kildare
7/15/18,kerry,galway,GAA Football All-Ireland Senior Championship,10,1,13,1,0,,galway,kerry
7/21/18,roscommon,donegal,GAA Football All-Ireland Senior Championship,13,0,20,0,0,,donegal,roscommon
7/21/18,tyrone,dublin,GAA Football All-Ireland Senior Championship,14,0,14,1,0,,dublin,tyrone
7/22/18,kildare,galway,GAA Football All-Ireland Senior Championship,16,0,19,0,0,,galway,kildare
7/22/18,monaghan,kerry,GAA Football All-Ireland Senior Championship,17,1,17,1,2,,null,null
8/4/18,kerry,kildare,GAA Football All-Ireland Senior Championship,25,3,16,2,1,,kerry,kildare
8/4/18,galway,monaghan,GAA Football All-Ireland Senior Championship,8,0,16,0,0,,monaghan,galway
8/5/18,donegal,tyrone,GAA Football All-Ireland Senior Championship,13,1,17,2,0,,tyrone,donegal
8/5/18,dublin,roscommon,GAA Football All-Ireland Senior Championship,24,4,16,2,1,,dublin,roscommon
8/11/18,dublin,galway,GAA Football All-Ireland Senior Championship,24,1,12,2,1,,dublin,galway
8/12/18,monaghan,tyrone,GAA Football All-Ireland Senior Championship,15,0,13,1,0,,tyrone,monaghan
9/2/18,dublin,tyrone,GAA Football All-Ireland Senior Championship,17,2,14,1,1,,dublin,tyrone
1/26/19,mayo,roscommon,Allianz Football League Roinn 1,8,1,7,1,1,,mayo,roscommon
1/26/19,down,laois,Allianz Football League Roinn 3,12,1,15,2,0,,laois,down
1/26/19,waterford,wicklow,Allianz Football League Roinn 4,9,0,7,1,0,,wicklow,waterford
1/27/19,monaghan,dublin,Allianz Football League Roinn 1,13,2,13,1,1,,monaghan,dublin
1/27/19,kerry,tyrone,Allianz Football League Roinn 1,11,0,7,0,1,,kerry,tyrone
1/27/19,galway,cavan,Allianz Football League Roinn 1,13,0,11,0,1,,galway,cavan
1/27/19,clare,donegal,Allianz Football League Roinn 2,13,0,16,0,0,,donegal,clare
1/27/19,kildare,armagh,Allianz Football League Roinn 2,14,0,11,1,2,,null ,null
1/27/19,fermanagh,cork,Allianz Football League Roinn 2,8,0,5,1,2,,null,null
1/27/19,meath,tipperary,Allianz Football League Roinn 2,15,0,8,1,1,,meath,tipperary
1/27/19,carlow,sligo,Allianz Football League Roinn 3,11,1,7,0,1,,carlow,sligo
1/27/19,offaly,westmeath,Allianz Football League Roinn 3,12,0,13,0,0,,westmeath,offaly
1/27/19,louth,longford,Allianz Football League Roinn 3,9,0,8,1,0,,longford,louth
1/27/19,antrim,derry,Allianz Football League Roinn 4,9,1,10,1,0,,derry,antrim
1/27/19,london,limerick,Allianz Football League Roinn 4,10,0,11,0,0,,limerick,london
1/27/19,leitrim,wexford,Allianz Football League Roinn 4,15,3,11,0,1,,leitrim,wexford
2/2/19,dublin,galway,Allianz Football League Roinn 1,15,1,7,0,1,,dublin,galway
2/2/19,donegal,meath,Allianz Football League Roinn 2,13,1,14,0,1,,donegal,meath
2/2/19,westmeath,carlow,Allianz Football League Roinn 3,10,1,7,2,2,,null ,null
2/2/19,laois,louth,Allianz Football League Roinn 3,9,1,8,3,0,,louth,laois
2/3/19,cavan,kerry,Allianz Football League Roinn 1,13,0,16,0,0,,kerry,cavan
2/3/19,roscommon,monaghan,Allianz Football League Roinn 1,12,1,13,0,1,,roscommon,monaghan
2/3/19,tyrone,mayo,Allianz Football League Roinn 1,10,0,13,2,0,,mayo,tyrone
2/3/19,cork,kildare,Allianz Football League Roinn 2,10,0,10,1,0,,kildare,cork
2/3/19,armagh,clare,Allianz Football League Roinn 2,13,1,10,2,2,,null,null
2/3/19,tipperary,fermanagh,Allianz Football League Roinn 2,5,2,5,2,2,,null,null
2/3/19,longford,offaly,Allianz Football League Roinn 3,6,1,9,0,2,,null,null
2/3/19,sligo,down,Allianz Football League Roinn 3,10,1,12,1,0,,down,sligo
2/3/19,derry,london,Allianz Football League Roinn 4,19,0,9,1,1,,derry,london
2/3/19,limerick,waterford,Allianz Football League Roinn 4,13,1,10,0,1,,limerick,waterford
2/3/19,wexford,antrim,Allianz Football League Roinn 4,10,1,9,0,1,,wexford,antrim
2/3/19,wicklow,leitrim,Allianz Football League Roinn 4,12,1,16,1,0,,leitrim,wicklow
2/9/19,kerry,dublin,Allianz Football League Roinn 1,18,1,14,2,1,,kerry,dublin
2/9/19,mayo,cavan,Allianz Football League Roinn 1,13,1,11,0,1,,mayo,cavan
2/9/19,fermanagh,kildare,Allianz Football League Roinn 2,8,0,6,0,1,,fermanagh,kildare
2/9/19,down,westmeath,Allianz Football League Roinn 3,10,0,9,0,1,,down,westmeath
2/10/19,roscommon,tyrone,Allianz Football League Roinn 1,10,1,10,1,2,,null,null
2/10/19,monaghan,galway,Allianz Football League Roinn 1,11,0,9,1,0,,galway,monaghan
2/10/19,clare,cork,Allianz Football League Roinn 2,13,3,10,1,1,,clare,cork
2/10/19,tipperary,donegal,Allianz Football League Roinn 2,9,3,13,0,1,,tipperary,donegal
2/10/19,meath,armagh,Allianz Football League Roinn 2,13,2,13,0,1,,meath,armagh
2/10/19,laois,sligo,Allianz Football League Roinn 3,18,2,10,2,1,,laois,sligo
2/10/19,carlow,longford,Allianz Football League Roinn 3,9,0,11,1,0,,longford,carlow
2/10/19,offaly,louth,Allianz Football League Roinn 3,8,2,10,2,0,,louth,offaly
2/10/19,waterford,derry,Allianz Football League Roinn 4,8,1,13,2,0,,derry,waterford
2/10/19,london,wexford,Allianz Football League Roinn 4,10,2,8,0,1,,london,wexford
2/10/19,leitrim,antrim,Allianz Football League Roinn 4,14,0,10,1,1,,leitrim,antrim
2/10/19,wicklow,limerick,Allianz Football League Roinn 4,8,2,6,1,1,,wicklow,limerick
2/23/19,dublin,mayo,Allianz Football League Roinn 1,12,1,7,0,1,,dublin,mayo
2/23/19,tyrone,monaghan,Allianz Football League Roinn 1,16,1,12,0,1,,tyrone,monaghan
2/23/19,cork,meath,Allianz Football League Roinn 2,9,1,12,2,0,,meath,cork
2/23/19,limerick,leitrim,Allianz Football League Roinn 4,11,0,12,0,0,,leitrim,limerick
2/24/19,galway,kerry,Allianz Football League Roinn 1,10,1,14,0,0,,kerry,galway
2/24/19,cavan,roscommon,Allianz Football League Roinn 1,13,3,13,0,1,,cavan,roscommon
2/24/19,kildare,clare,Allianz Football League Roinn 2,16,1,13,0,1,,kildare,clare
2/24/19,armagh,tipperary,Allianz Football League Roinn 2,15,1,12,0,1,,armagh,tipperary
2/24/19,donegal,fermanagh,Allianz Football League Roinn 2,10,0,13,0,0,,fermanagh,donegal
2/24/19,longford,down,Allianz Football League Roinn 3,8,0,7,3,0,,down,longford
2/24/19,louth,sligo,Allianz Football League Roinn 3,16,5,16,0,1,,louth,sligo
2/24/19,westmeath,laois,Allianz Football League Roinn 3,13,0,10,0,1,,westmeath,laois
2/24/19,offaly,carlow,Allianz Football League Roinn 3,15,0,9,1,1,,offaly,carlow
2/24/19,antrim,london,Allianz Football League Roinn 4,13,1,8,1,1,,antrim,london
2/24/19,wexford,waterford,Allianz Football League Roinn 4,12,0,5,4,0,,waterford,wexford
2/24/19,derry,wicklow,Allianz Football League Roinn 4,8,2,9,0,1,,derry,wicklow
3/2/19,tyrone,cavan,Allianz Football League Roinn 1,15,1,9,0,1,,tyrone,cavan
3/2/19,mayo,galway,Allianz Football League Roinn 1,12,0,11,1,0,,galway,mayo
3/2/19,tipperary,cork,Allianz Football League Roinn 2,12,0,12,1,0,,cork,tipperary
3/2/19,donegal,armagh,Allianz Football League Roinn 2,9,1,11,0,1,,donegal,armagh
3/2/19,carlow,louth,Allianz Football League Roinn 3,10,1,12,0,1,,carlow,louth
3/2/19,laois,longford,Allianz Football League Roinn 3,14,0,12,0,1,,laois,longford
3/2/19,down,offaly,Allianz Football League Roinn 3,12,2,10,0,1,,down,offaly
3/2/19,waterford,antrim,Allianz Football League Roinn 4,9,1,8,1,1,,waterford,antrim
3/2/19,limerick,derry,Allianz Football League Roinn 4,5,1,13,0,0,,derry,limerick
3/2/19,wicklow,wexford,Allianz Football League Roinn 4,9,0,12,0,0,,wexford,wicklow
3/3/19,roscommon,dublin,Allianz Football League Roinn 1,12,1,14,2,0,,dublin,roscommon
3/3/19,kerry,monaghan,Allianz Football League Roinn 1,17,0,13,0,1,,kerry,monaghan
3/3/19,meath,kildare,Allianz Football League Roinn 2,9,1,8,1,1,,meath,kildare
3/3/19,fermanagh,clare,Allianz Football League Roinn 2,12,0,9,0,1,,fermanagh,clare
3/3/19,sligo,westmeath,Allianz Football League Roinn 3,10,1,12,3,0,,westmeath,sligo
3/3/19,leitrim,london,Allianz Football League Roinn 4,9,1,7,0,1,,leitrim,london
3/16/19,monaghan,cavan,Allianz Football League Roinn 1,14,0,8,1,1,,monaghan,cavan
3/16/19,galway,roscommon,Allianz Football League Roinn 1,17,1,10,1,1,,galway,roscommon
3/16/19,kerry,mayo,Allianz Football League Roinn 1,11,0,10,1,0,,mayo,kerry
3/16/19,dublin,tyrone,Allianz Football League Roinn 1,11,1,14,1,0,,tyrone,dublin
3/16/19,cork,donegal,Allianz Football League Roinn 2,12,1,19,1,0,,donegal,cork
3/16/19,kildare,tipperary,Allianz Football League Roinn 2,11,1,7,2,1,,kildare,tipperary
3/16/19,armagh,fermanagh,Allianz Football League Roinn 2,9,1,6,0,1,,armagh,fermanagh
3/16/19,offaly,laois,Allianz Football League Roinn 3,15,0,12,2,0,,laois,offaly
3/16/19,longford,sligo,Allianz Football League Roinn 3,15,2,14,0,1,,longford,sligo
3/16/19,carlow,down,Allianz Football League Roinn 3,11,1,15,0,0,,down,carlow
3/16/19,london,waterford,Allianz Football League Roinn 4,7,0,9,2,0,,waterford,london
3/16/19,antrim,wicklow,Allianz Football League Roinn 4,15,2,10,0,1,,antrim,wicklow
3/16/19,wexford,limerick,Allianz Football League Roinn 4,14,0,10,1,1,,wexford,limerick
3/16/19,derry,leitrim,Allianz Football League Roinn 4,16,2,12,1,1,,derry,leitrim
3/17/19,clare,meath,Allianz Football League Roinn 2,7,1,12,1,0,,meath,clare
3/23/19,leitrim,waterford,Allianz Football League Roinn 4,20,1,9,2,1,,leitrim,waterford
3/23/19,derry,wexford,Allianz Football League Roinn 4,21,3,16,4,1,,derry,wexford
3/24/19,cavan,dublin,Allianz Football League Roinn 1,10,1,16,1,0,,dublin,cavan
3/24/19,tyrone,galway,Allianz Football League Roinn 1,15,3,14,1,1,,tyrone,galway
3/24/19,roscommon,kerry,Allianz Football League Roinn 1,13,0,17,2,0,,kerry,roscommon
3/24/19,mayo,monaghan,Allianz Football League Roinn 1,15,3,18,1,1,,mayo,monaghan
3/24/19,tipperary,clare,Allianz Football League Roinn 2,19,1,15,3,0,,clare,tipperary
3/24/19,meath,fermanagh,Allianz Football League Roinn 2,12,2,11,0,1,,meath,fermanagh
3/24/19,armagh,cork,Allianz Football League Roinn 2,14,1,9,3,0,,cork,armagh
3/24/19,donegal,kildare,Allianz Football League Roinn 2,20,1,10,0,1,,donegal,kildare
3/24/19,sligo,offaly,Allianz Football League Roinn 3,10,1,11,1,0,,offaly,sligo
3/24/19,westmeath,longford,Allianz Football League Roinn 3,14,1,10,1,1,,westmeath,longford
3/24/19,down,louth,Allianz Football League Roinn 3,6,1,10,0,0,,louth,down
3/24/19,laois,carlow,Allianz Football League Roinn 3,15,1,12,1,1,,laois,carlow
3/24/19,wicklow,london,Allianz Football League Roinn 4,8,0,6,0,1,,wicklow,london
3/24/19,limerick,antrim,Allianz Football League Roinn 4,11,1,12,2,0,,antrim,limerick
3/30/19,donegal,meath,Allianz Football League Roinn 2,17,1,15,1,1,,donegal,meath
3/30/19,louth,westmeath,Allianz Football League Roinn 3,7,2,10,1,2,,null,null
3/30/19,derry,leitrim,Allianz Football League Roinn 4,20,0,16,0,1,,derry,leitrim
3/31/19,kerry,mayo,Allianz Football League Roinn 1,10,2,11,3,0,,mayo,kerry
4/6/19,laois,westmeath,Allianz Football League Roinn 3,13,0,13,1,0,,westmeath,laois
5/5/19,new_york,mayo,Connacht GAA Football Senior Championship,4,0,22,1,0,,mayo,new_york
5/5/19,london,galway,Connacht GAA Football Senior Championship,9,1,16,0,0,,galway,london
5/11/19,wicklow,kildare,Leinster GAA Football Senior Championship,10,1,15,0,0,,kildare,wicklow
5/11/19,tipperary,limerick,Munster GAA Football Senior Championship,10,1,11,3,0,,limerick,tipperary
5/11/19,clare,waterford,Munster GAA Football Senior Championship,9,0,8,0,1,,clare,waterford
5/12/19,meath,offaly,Leinster GAA Football Senior Championship,13,1,14,0,1,,meath,offaly
5/12/19,wexford,louth,Leinster GAA Football Senior Championship,14,1,22,0,0,,louth,wexford
5/12/19,tyrone,derry,Ulster GAA Football Senior Championship,19,1,13,1,1,,tyrone,derry
5/18/19,cavan,monaghan,Ulster GAA Football Senior Championship,13,1,12,0,1,,cavan,monaghan
5/19/19,sligo,galway,Connacht GAA Football Senior Championship,7,0,11,3,0,,galway,sligo
5/19/19,down,armagh,Ulster GAA Football Senior Championship,13,3,17,3,0,,armagh,down
5/25/19,mayo,roscommon,Connacht GAA Football Senior Championship,17,0,12,2,0,,roscommon,mayo
5/25/19,carlow,meath,Leinster GAA Football Senior Championship,9,0,18,2,0,,meath,carlow
5/25/19,dublin,louth,Leinster GAA Football Senior Championship,21,5,10,0,1,,dublin,louth
5/25/19,antrim,tyrone,Ulster GAA Football Senior Championship,9,2,23,2,0,,tyrone,antrim
5/26/19,westmeath,laois,Leinster GAA Football Senior Championship,10,0,12,0,0,,laois,westmeath
5/26/19,longford,kildare,Leinster GAA Football Senior Championship,15,3,21,1,2,,null,null
5/26/19,fermanagh,donegal,Ulster GAA Football Senior Championship,9,0,15,0,0,,donegal,fermanagh
6/1/19,cork,limerick,Munster GAA Football Senior Championship,18,3,6,0,1,,cork,limerick
6/1/19,clare,kerry,Munster GAA Football Senior Championship,12,0,15,1,0,,kerry,clare
6/2/19,kildare,longford,Leinster GAA Football Senior Championship,18,1,10,0,1,,kildare,longford
6/2/19,cork,limerick,Munster GAA Football Senior Championship,7,1,10,2,0,,limerick,cork
6/2/19,cavan,armagh,Ulster GAA Football Senior Championship,17,0,14,1,2,,null,null
6/8/19,offaly,london,GAA Football All-Ireland Senior Championship,21,1,11,1,1,,offaly,london
6/8/19,leitrim,wicklow,GAA Football All-Ireland Senior Championship,15,0,13,0,1,,leitrim,wicklow
6/8/19,wexford,derry,GAA Football All-Ireland Senior Championship,10,0,16,4,0,,derry,wexford
6/8/19,louth,antrim,GAA Football All-Ireland Senior Championship,11,1,16,2,0,,antrim,louth
6/8/19,tyrone,donegal,Ulster GAA Football Senior Championship,15,0,16,1,0,,donegal,tyrone
6/9/19,monaghan,fermanagh,GAA Football All-Ireland Senior Championship,10,1,6,1,1,,monaghan,fermanagh
6/9/19,down,tipperary,GAA Football All-Ireland Senior Championship,13,1,10,1,1,,down,tipperary
6/9/19,westmeath,waterford,GAA Football All-Ireland Senior Championship,22,1,7,0,1,,westmeath,waterford
6/9/19,carlow,longford,GAA Football All-Ireland Senior Championship,7,0,11,2,0,,longford,carlow
6/9/19,meath,laois,Leinster GAA Football Senior Championship,13,3,11,0,1,,meath,laois
6/9/19,dublin,kildare,Leinster GAA Football Senior Championship,26,0,11,0,1,,dublin,kildare
6/9/19,armagh,cavan,Ulster GAA Football Senior Championship,17,0,23,0,0,,cavan,armagh
6/16/19,galway,roscommon,Connacht GAA Football Senior Championship,12,0,13,1,0,,roscommon,galway
