Date,competition,team1,team1_goals,team1_points,team2,team2_goals,team2_points,team1_score,team2_score,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,Season_Year
7/9/16,GAA Football All-Ireland Senior Championship,Monaghan,1,13,Longford,2,13,16,19,1522.888769,1493.695436,54,46,1508.060489,1508.523715,2016
7/9/16,GAA Football All-Ireland Senior Championship,Kildare,1,22,Offaly,2,14,25,20,1500.008428,1532.687582,45,55,1519.319517,1513.376494,2016
7/10/16,GAA Football All-Ireland Senior Championship,Clare,0,14,Laois,1,10,14,13,1487.357578,1513.769277,46,54,1494.726494,1506.400361,2016
7/10/16,Connacht GAA Football Senior Championship,Galway,0,13,Roscommon,1,10,13,13,1514.737144,1553.272804,44,56,1514.737144,1553.272804,2016
7/16/16,GAA Football All-Ireland Senior Championship,Sligo,1,13,Clare,2,17,16,23,1504.950663,1494.726494,51,49,1483.643517,1516.033639,2016
7/16/16,GAA Football All-Ireland Senior Championship,Longford,1,6,Cork,2,9,9,15,1508.523715,1512.308152,49,51,1489.309615,1531.522252,2016
7/16/16,GAA Football All-Ireland Senior Championship,Cavan,0,18,Derry,1,17,18,20,1518.730519,1508.257967,52,48,1507.466966,1519.521521,2016
7/16/16,GAA Football All-Ireland Senior Championship,Mayo,2,17,Kildare,0,14,23,14,1529.73066,1519.319517,51,49,1551.961528,1497.088648,2016
7/17/16,Connacht GAA Football Senior Championship,Galway,3,16,Roscommon,0,14,25,14,1514.737144,1553.272804,44,56,1541.856066,1526.153882,2016
7/17/16,Leinster GAA Football Senior Championship,Dublin,2,19,Westmeath,0,10,25,10,1549.345179,1514.219415,55,45,1573.885669,1489.678925,2016
7/17/16,Ulster GAA Football Senior Championship,Donegal,0,11,Tyrone,0,13,11,13,1528.833887,1548.598419,47,53,1518.564318,1558.867988,2016
7/23/16,GAA Football All-Ireland Senior Championship,Clare,2,12,Roscommon,1,9,18,12,1516.033639,1526.153882,49,51,1535.967694,1506.219827,2016
7/23/16,GAA Football All-Ireland Senior Championship,Tipperary,1,21,Derry,2,17,24,23,1507.855874,1519.521521,48,52,1514.982205,1512.39519,2016
7/30/16,GAA Football All-Ireland Senior Championship,Donegal,0,21,Cork,1,15,21,18,1518.564318,1531.522252,48,52,1532.859853,1517.226717,2016
7/30/16,GAA Football All-Ireland Senior Championship,Mayo,3,15,Westmeath,1,14,24,17,1551.961528,1489.678925,59,41,1568.596736,1473.043718,2016
7/31/16,GAA Football All-Ireland Senior Championship,Kerry,2,16,Clare,0,11,22,11,1550.812233,1535.967694,52,48,1574.440809,1512.339118,2016
7/31/16,GAA Football All-Ireland Senior Championship,Galway,1,10,Tipperary,3,13,13,22,1541.856066,1514.982205,54,46,1517.352054,1539.486217,2016
8/6/16,GAA Football All-Ireland Senior Championship,Tyrone,0,12,Mayo,0,13,12,13,1558.867988,1568.596736,49,51,1552.16022,1575.304503,2016
8/6/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Donegal,1,10,18,13,1573.885669,1532.859853,56,44,1589.407842,1517.33768,2016
8/21/16,GAA Football All-Ireland Senior Championship,Mayo,2,13,Tipperary,0,14,19,14,1575.304503,1539.486217,55,45,1591.123874,1523.666846,2016
8/28/16,GAA Football All-Ireland Senior Championship,Dublin,0,22,Kerry,2,14,22,20,1589.407842,1574.440809,52,48,1599.849951,1563.9987,2016
9/18/16,GAA Football All-Ireland Senior Championship,Dublin,2,9,Mayo,0,15,15,15,1599.849951,1591.123874,51,49,1599.849951,1591.123874,2016
10/1/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Mayo,1,14,18,17,1599.849951,1591.123874,51,49,1606.580674,1584.393151,2016
2/4/17,Allianz Football League Roinn 1,Mayo,0,12,Monaghan,1,11,12,14,1557.928767,1507.040326,57,43,1545.629428,1519.339666,2017
2/4/17,Allianz Football League Roinn 1,Down,0,10,Fermanagh,1,16,10,19,1471.249997,1499.839018,46,54,1450.385714,1520.703301,2017
2/4/17,Allianz Football League Roinn 1,Laois,0,10,Louth,2,16,10,22,1505.933574,1493.457486,52,48,1479.513255,1519.877805,2017
2/5/17,Allianz Football League Roinn 1,Tyrone,0,18,Roscommon,1,9,18,12,1536.440147,1505.813218,54,46,1553.944645,1488.30872,2017
2/5/17,Allianz Football League Roinn 1,Donegal,1,17,Kerry,2,17,20,23,1513.22512,1544.332467,46,54,1500.776103,1556.781484,2017
2/5/17,Allianz Football League Roinn 1,Cavan,0,11,Dublin,0,18,11,18,1506.644644,1572.720449,41,59,1490.250335,1589.114758,2017
2/5/17,Allianz Football League Roinn 2,Galway,0,14,Cork,1,11,14,14,1513.234703,1513.151145,50,50,1513.234703,1513.151145,2017
