Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score,home_prob,draw_prob,away_prob,home_elo,away_elo
7/16/16,GAA Football All-Ireland Senior Championship,Sligo,1,13,Clare,2,17,16,23,0.506110388,0.105990783,0.493889612,1504,1499
7/16/16,GAA Football All-Ireland Senior Championship,Longford,1,6,Cork,2,9,9,15,0.499958484,0.105990783,0.500041516,1507,1507
7/16/16,GAA Football All-Ireland Senior Championship,Cavan,0,18,Derry,1,17,18,20,0.510386271,0.105990783,0.489613729,1513,1505
7/16/16,GAA Football All-Ireland Senior Championship,Mayo,2,17,Kildare,0,14,23,14,0.512518804,0.105990783,0.487481196,1522,1513
7/17/16,Connacht GAA Football Senior Championship,Galway,3,16,Roscommon,0,14,25,14,0.455321203,0.117647059,0.544678797,1512,1543
7/17/16,Leinster GAA Football Senior Championship,Dublin,2,19,Westmeath,0,10,25,10,0.527372944,0.068322981,0.472627056,1536,1517
7/17/16,Ulster GAA Football Senior Championship,Donegal,0,11,Tyrone,0,13,11,13,0.483149882,0.105990783,0.516850118,1524,1536
7/23/16,GAA Football All-Ireland Senior Championship,Clare,2,12,Roscommon,1,9,18,12,0.487552179,0.105990783,0.512447821,1514,1523
7/23/16,GAA Football All-Ireland Senior Championship,Tipperary,1,21,Derry,2,17,24,23,0.488189021,0.105990783,0.511810979,1507,1515
7/30/16,GAA Football All-Ireland Senior Championship,Donegal,0,21,Cork,1,15,21,18,0.492192725,0.105990783,0.507807275,1515,1520
7/30/16,GAA Football All-Ireland Senior Championship,Mayo,3,15,Westmeath,1,14,24,17,0.560027578,0.068322981,0.439972422,1538,1496
7/31/16,GAA Football All-Ireland Senior Championship,Kerry,2,16,Clare,0,11,22,11,0.51415075,0.105990783,0.48584925,1538,1528
7/31/16,GAA Football All-Ireland Senior Championship,Galway,1,10,Tipperary,3,13,13,22,0.523613932,0.105990783,0.476386068,1532,1516
8/6/16,GAA Football All-Ireland Senior Championship,Tyrone,0,12,Mayo,0,13,12,13,0.491648521,0.105990783,0.508351479,1545,1551
8/6/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Donegal,1,10,18,13,0.54608736,0.068322981,0.45391264,1558,1526
8/21/16,GAA Football All-Ireland Senior Championship,Mayo,2,13,Tipperary,0,14,19,14,0.537779159,0.068322981,0.462220841,1559,1533
8/28/16,GAA Football All-Ireland Senior Championship,Dublin,0,22,Kerry,2,14,22,20,0.519035841,0.105990783,0.480964159,1569,1556
9/18/16,GAA Football All-Ireland Senior Championship,Dublin,2,9,Mayo,0,15,15,15,0.510757092,0.105990783,0.489242908,1578,1571
10/1/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Mayo,1,14,18,17,0.510292877,0.105990783,0.489707123,1578,1571
2/4/17,Allianz Football League Roinn 1,Mayo,0,12,Monaghan,1,11,12,14,0.580177433,0.057377049,0.419822567,1563,1506
2/4/17,Allianz Football League Roinn 1,Down,0,10,Fermanagh,1,16,10,19,0.448694884,0.117647059,0.551305116,1462,1498
2/4/17,Allianz Football League Roinn 1,Laois,0,10,Louth,2,16,10,22,0.517303492,0.105990783,0.482696508,1504,1492
2/5/17,Allianz Football League Roinn 1,Tyrone,0,18,Roscommon,1,9,18,12,0.539713008,0.068322981,0.460286992,1537,1509
2/5/17,Allianz Football League Roinn 1,Donegal,1,17,Kerry,2,17,20,23,0.45345114,0.117647059,0.54654886,1514,1547
2/5/17,Allianz Football League Roinn 1,Cavan,0,11,Dublin,0,18,11,18,0.382170163,0.101694915,0.617829837,1503,1586
2/5/17,Allianz Football League Roinn 2,Galway,0,14,Cork,1,11,14,14,0.507243397,0.105990783,0.492756603,1515,1510
2/5/17,Allianz Football League Roinn 2,Derry,0,11,Clare,1,8,11,11,0.494754832,0.105990783,0.505245168,1506,1510
2/5/17,Allianz Football League Roinn 2,Meath,0,16,Kildare,3,17,16,26,0.481728514,0.105990783,0.518271486,1484,1497
2/5/17,Allianz Football League Roinn 3,Longford,1,12,Offaly,0,10,15,10,0.480615145,0.105990783,0.519384855,1493,1507
2/5/17,Allianz Football League Roinn 3,Tipperary,2,12,Antrim,0,13,18,13,0.564661323,0.068322981,0.435338677,1521,1476
2/5/17,Allianz Football League Roinn 3,Sligo,1,14,Armagh,2,11,17,17,0.532267195,0.068322981,0.467732805,1489,1467
2/5/17,Allianz Football League Roinn 4,Waterford,1,14,Armagh,2,11,17,17,0.508323974,0.105990783,0.491676026,1473,1467
2/5/17,Allianz Football League Roinn 4,Westmeath,2,10,Carlow,2,10,16,16,0.503748688,0.105990783,0.496251312,1483,1481
2/5/17,Allianz Football League Roinn 4,Wicklow,0,10,Leitrim,1,17,10,20,0.500149346,0.105990783,0.499850654,1473,1473
2/5/17,Allianz Football League Roinn 4,Wexford,0,14,Limerick,1,8,14,11,0.493151667,0.105990783,0.506848333,1479,1484
2/11/17,Allianz Football League Roinn 1,Kerry,1,10,Mayo,0,15,13,15,0.506727409,0.105990783,0.493272591,1556,1552
2/11/17,Allianz Football League Roinn 1,Dublin,0,10,Tyrone,1,7,10,10,0.569163908,0.068322981,0.430836092,1597,1549
2/11/17,Allianz Football League Roinn 4,Waterford,1,17,Wicklow,1,9,20,12,0.524932714,0.105990783,0.475067286,1473,1455
2/12/17,Allianz Football League Roinn 1,Monaghan,0,7,Cavan,0,7,7,7,0.53670305,0.068322981,0.46329695,1517,1492
2/12/17,Allianz Football League Roinn 1,Roscommon,2,9,Donegal,0,16,15,16,0.488258518,0.105990783,0.511741482,1497,1505
2/12/17,Allianz Football League Roinn 2,Clare,2,11,Down,0,11,17,11,0.588802163,0.057377049,0.411197837,1510,1448
2/12/17,Allianz Football League Roinn 2,Kildare,1,14,Cork,1,8,17,11,0.506091632,0.105990783,0.493908368,1514,1510
2/12/17,Allianz Football League Roinn 2,Fermanagh,0,10,Galway,1,13,10,16,0.497644305,0.105990783,0.502355695,1513,1515
2/12/17,Allianz Football League Roinn 2,Meath,3,15,Derry,0,9,24,9,0.444309507,0.117647059,0.555690493,1468,1506
2/12/17,Allianz Football League Roinn 3,Louth,0,11,Longford,0,10,11,10,0.508569929,0.105990783,0.491430071,1512,1506
2/12/17,Allianz Football League Roinn 3,Tipperary,1,16,Sligo,2,14,19,20,0.562428375,0.068322981,0.437571625,1532,1489
2/12/17,Allianz Football League Roinn 3,Offaly,0,23,Antrim,1,7,23,10,0.541039574,0.068322981,0.458960426,1494,1465
2/12/17,Allianz Football League Roinn 3,Armagh,0,16,Laois,2,11,16,17,0.475950387,0.105990783,0.524049613,1467,1484
2/12/17,Allianz Football League Roinn 4,Carlow,0,16,London,2,15,16,21,0.521090681,0.105990783,0.478909319,1481,1466
2/12/17,Allianz Football League Roinn 4,Limerick,0,12,Westmeath,1,18,12,21,0.485725976,0.105990783,0.514274024,1473,1483
2/12/17,Allianz Football League Roinn 4,Leitrim,0,14,Wexford,0,16,14,16,0.500575882,0.105990783,0.499424118,1490,1490
2/25/17,Allianz Football League Roinn 1,Mayo,1,19,Roscommon,0,14,22,14,0.603395696,0.057377049,0.396604304,1561,1488
